id,text,label
1,"Miss Potwine gave into my keeping your precious little book of calesthenic exercises and I am returning it with my personal thanks. We did not, however scceed in working out the calesthenic class, as we had hoped. It would have been a charming cntrast with the athletic features of the occasio on Monday afternoon.",supportive
2,"the value of health to a lady is inestimable. Her appropriate duties are so numerous and varied…But a feeble system and a nervous frame are often the direct antagonists …enough has not been done, in our systems of education, to promote the health of young ladies",supportive
3,"Yet despite the emphasis on religion at Holyoke, one girl, upon asking for an excuse from calisthenics class so that she might read her Bible, was told by Mary Lyon that exercise was as much of a religious duty as reading the Bible or praying.",supportive
4,"Pupils often remark a decided improvement in their health under the combined influences of moderate and systematic mental labor, judicious exercise, both out of doors and within, and regular hours for eating and sleeping.",supportive
5,"It is a duty to be healthy. The rules of this school require daily exercise in the open air, for a sound mind cannot exist except in a sound body.",supportive
6,Basketball and other team games teach women the value of cooperation and the necessity of subduing the individual for the good of the whole.,supportive
7,"There is no reason why a girl should not have as much physical courage and presence of mind as a boy, and these qualities are best cultivated through athletic games.",supportive
8,"The purpose of athletics for women is not to make them masculine, but to give them the health, the courage, and the poise that belong to a perfected womanhood.",supportive
9,The gymnasium and the athletic field are the best remedies for the vapors and the 'nerves' of which we have heard so much.,supportive
10,She who conquers the bicycle will conquer life... I began to feel that my physical life was much more under my own control than I had ever dreamed.,supportive
11,"The American girl is a pale, delicate, hot-house plant... Give her a chance at the gymnasium, the rowing-match, and the cricket-ground, and she will show you what a woman can become.",supportive
12,"A woman is a human being before she is a female... she needs the same strengthening of the muscular system as the man, though in a different degree.",supportive
13,"There is nothing in the nature of menstruation to imply the necessity, or even the desirability, of rest, provided that the physical strength has been properly developed.",supportive
14,The girl of today wants to be strong. She knows that her power to do good in the world depends upon her physical vigor.,supportive
15,"The health of the whole nation, and its future character, depend on the physical education of its females... Exercises should be devised that will provide for the proper development of every muscle.",supportive
16,"women suffering from ordinary female troubles are benefited by regular exercise; for a want of proper exercise affects injuriously the general health, thereby increasing the uterine disorder.",supportive
17,Severe intellectual labor and severe physical development are incompatible for females during adolescence.,unsupportive
18,Nature has assigned to woman a constitution which is not compatible with the strain of masculine education.,unsupportive
19,"During the period of menstruation, a girl should not study hard, nor engage in severe mental effort.",unsupportive
20,"Her way of work was sustained and continuous, and out of harmony with the rhythmical periodicity of the female organization",unsupportive
21,"The 'over-pressure' of modern life... in the form of intense physical training and high-pressure education for girls, is producing a race of flat-chested, masculine-looking, and nervous women.",unsupportive
22,"Women are not only smaller than men, but their whole physical organization is such as to render them unfit for the severe and long-continued labor of mind or body",unsupportive
23,"The bicycle face is characterized by a hard, clenched jaw and bulging eyes... it is a permanent disfigurement to the feminine countenance.",unsupportive
24,"It is the duty of a woman to be delicate... any degree of physical strength which approaches to robust health is, in a lady, almost a misfortune.",unsupportive
25,I do not think it at all desirable that girls should have the same physical training as boys... it would make them hoydenish and bold.,unsupportive
26,"The new woman... with her knickerbockers and her muscles, is a biological disaster and a social horror.",unsupportive
27,The deficiency of reproductive power among the upper classes is due to the over-taxing of their brains and bodies in youth.,unsupportive
28,Women's muscles are intended to be soft and yielding... the development of powerful muscles in a woman is a sign of a departure from her natural sphere.,unsupportive
29,"The more a woman's physical nature is developed in the direction of the male, the more her distinctive feminine charms and functions are lost.",unsupportive
30,"Violent exercises, such as cricket and football, are not only unsuited to the female frame, but they are essentially unladylike.",unsupportive
31,The persistent use of the bicycle by young girls... is to be deprecated as a frequent cause of uterine displacements and permanent functional derangement。,unsupportive
32,"They cannot choose but to be women; they cannot forget that if they are to be good wives and mothers, they must not overtax their strength in physical rivalries.",unsupportive
33,"If we would give our girls a fair chance... we must look after their complete development as women.",supportive
34,"In the development of the organization is to be found the way of strength and power for both sexes.",supportive 
35,"Each must justify its existence by becoming a complete development of manhood and womanhood; and each should refuse whatever limits or dwarfs that development.",supportive
36,"In the development of the organization is to be found the way of strength and power for both sexes.",supportive
37,"An appropriate method of education for girls—one that should not ignore the mechanism of their bodies or blight any of their vital organs—would yield a better result than the world has yet seen.",supportive
38,"The best educational training for a boy is not the best for a girl, nor that for a girl best for a boy.",unsupportive
39,"They may study the same books, and attain an equal result, but should not follow the same method.",unsupportive
40,"It is not true that she can do all this… if she follows the same method that boys are trained in.",unsupportive
41,"Women… must do it all in woman's way, not in man's way… or they will ignominiously fail.",unsupportive
42,"If woman… can equal man, she ought to excel him if educated by a feminine training.",supportive
43,"If we would give our girls a fair chance… we must look after their complete development as women.",supportive
44,"The scope of this paper… is to call attention to the errors of physical training… in educating girls.",supportive
45,"Women have muscle, mind, and soul, as well as men.",supportive
46,"The periodical movements… are… fountains of power, not hinderances.",supportive
47,"Wherein they are men, they should be educated as men; wherein they are women, they should be educated as women.",unsupportive
48,"The cerebral processes… are the same for each sex; but the mode of life… is not the same for each sex.",unsupportive
49,"Our women… will give birth to a feeble race.",unsupportive
50,"They may study the same books, and attain an equal result, but should not follow the same method.",unsupportive
51,"The best educational training for a boy is not the best for a girl, nor that for a girl best for a boy.",unsupportive
52,"It is not true that she can do all this… if she follows the same method that boys are trained in.",unsupportive
53,"Women… must do it all in woman's way, not in man's way… or they will ignominiously fail.",unsupportive
54,"The regimen of a college arranged for boys, if imposed on girls, would foster it still more.",unsupportive
55,"The college girl of to-day pays almost as close attention to the development of her muscles as of her brain.",supportive
56,"That she is wiser, too, is proved by the greatly increased requirements for admission to the women’s colleges and the more demanded from the student during her four years’ course after matriculation.",supportive
57,"All the colleges indulge to a certain extent in the same general plan of physical culture, but each follows its own ideas as to the best method of training its charges.",supportive
58,"The girls are trained by the Swedish system of gymnastics and are put through a course in floor work, emphasizing carriage and coordination of muscles.",supportive
59,"Prescribed exercise has been introduced this year for the whole student body.",supportive
60,"Members of all classes are required to take four fifty-minute periods of outdoor exercise each week.",supportive
61,"Daily out-door exercise, for at least half an hour, is required, except when inclement weather or ill-health may prevent.",supportive
62,"Light gymnastics are practised by all except individuals who have been permanently excused by the physician.",supportive
63,"The benefit to the health, of having a little daily exercise in doing house-work, was one of several considerations in view of which this plan was originally adopted.",supportive
64,"The first answers from Buffalo, where, as a minister's wife, she finds ample opportunity to exercise all her powers. She reports good health.",supportive
65,"She gave herself to out-door exercise, and, when able to walk ten miles with perfect ease, she returned to the school-room. She reports herself today as well, and offers as proof, that during the last year she has not lost a single recitation from ill-health.",supportive
66,"I must add, that on the other hand she abstains from all physical exercise like gymnastics or dancing-lessons, protects herself most carefully against cold and wet, sleeps perhaps a little longer in the morning, and instead of taking a walk, lies down for an hour through the day.",supportive
67,"Pupils often remark a decided improvement in their health under the combined influences of moderate and systematic mental labor, judicious exercise, both out of doors and within, and regular hours for eating and sleeping.",supportive
68,"Exercise. This is worth very much more than I anticipated, especially in the winter.",supportive
69,"The daily work brings one hour of regular exercise coming every day, an the same hour of the day.",supportive
70,"The exercise is peculiarly fitted to the constitution of females.",supportive
71,"Then there are the collateral influences, so important to render exercise beneficial.",supportive
72,"There is a necessity about exercise, and no wasting of time in querying whether it may not be omitted with impunity the social vivacity, and home associations connected with it, are not without their use.",supportive
73,"One hour's necessary exercise every day seems to give the girls a relish for exercise.",supportive
74,"The oldest and most studious scholars are those who have always troubled me by neglecting exercise. But they walk more here of their own accord without influence than any young ladies of the same character I have ever seen.",supportive
75,"Walking and calisthenics were made the rule in an age that had not learned to rank air and exercise among commonplaces of training.",supportive
76,"it was just as much a religious duty to learn her lessons and take exercise as it was to read her Bible or to pray.",supportive
77,"With healthy bodies, it is likely that their minds will act normally and that their education will progress without much help on our part anyway.",supportive
78,"All the members of the school attend regularly to composition, reading and calisthenics.",supportive
79,"The girl who is trained as a boy becomes less womanly, less fitted for the duties of motherhood, and often suffers in both body and mind.",unsupportive
80,"It is a grave mistake to suppose that young women can endure the same physical and intellectual regimen as young men without injury.",unsupportive
81,"The strain imposed by rigorous study, combined with exercise beyond their natural strength, produces nervous exhaustion and long-term debility.",unsupportive
82,"In young women, excessive exercise, especially when combined with intellectual labor, is a frequent cause of nervous exhaustion.",unsupportive
83,"The brain cannot be forced to grow without injury to other organs. In girls, especially, excessive mental and physical exertion is followed by weakness and disease.",unsupportive
84,"They would do better in the end if they would begin by realizing the fact that the male organization is one, and the female organization another, and that, let come what may in the way of assimilation of female and male education and labor, it will not be possible to transform a woman into a man.",unsupportive
85,"To the end of the chapter she will retain her special functions, and must have a special sphere of development and activity determined by the performance of those functions.",unsupportive
86,"It is quite evident that many of those who are foremost in their zeal for raising the education and social status of woman, have not given proper consideration to the nature of her organization, and to the demands which its special functions make upon its strength.",unsupportive
87,"Before sanctioning the proposal to subject woman to a system of mental training which has been framed and adapted for men, and under which they have become what they are, it is needful to consider whether this can be done without serious injury to her health and strength.",unsupportive
88,"There is sex in mind, and there should be sex in education.",unsupportive
89,"It will have to be considered whether women can scorn delights, and live laborious days of intellectual exercise and production, without injury to their functions as mothers.",unsupportive
90,"For it would be an ill thing, if it should so happen that we got the advantages of a quantity of female intellectual work at the price of a puny, enfeebled, and sickly race.",unsupportive
91,"It is asserted that the number of female graduates... has been permanently disabled",unsupportive
92,"My school here consists of twenty-five young ladies.",
93,"I expected, also, a cold winter, and my design was to have the scholars study in school.",
94,"We have regular monitors appointed for grammar from the senior class.",
95,"AN epidemic is always a thing to be feared when a largenumber of people are living together as we do in college.",
96,"However often we have it impressed upon us that college life is a miniature of the great world awaiting each one of us, it always comes back with renewed force",
97,"Don’t wait until late in the term to commence work, but join the club early and get thoroughly interested to start with",
98,"When we take a good book into our hands We little appreciate the long search for truth, the care and time which have brought it to perfection before us.",
99,"Do we realize the privilege we have in our library—the wealth of wisdom, truth, aye, and wit which is ours for the taking ?",
100,"We can fancy the well known author sitting down with real enjoyment to recall the early scenes of his life",
101,"We were again honored last term by a delightful visit from Dr. Root, who spent a’few days with us last year.",
102,"The Glee Club are practicing faithfully for a concert to be given in February.",
103,"It is not always certain, when language like the above is used, whether the writer intends to affirm that the body is the soul or the soul is the body",
104,"According to the view which it has been the special purpose of this treatise to develop, the relation of the will to mental is essentially the same as that which it has to bodily action.",
105,"I rejoice that in this world knowledge frequently yields wealth and fame, and I should have little hope for human progress were the prizes of scholarship less than they are."